"filename", "language", "Docker", "JSON", "YAML", "Markdown", "Skill", "HTML", "Ignore", "Python", "PowerShell", "Shell Script", "comment", "blank", "total"
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\repositories\neo4j.py", "Python", 0, 0, 0, 0, 0, 0, 0, 411, 0, 0, 69, 53, 533
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\repositories\protocols.py", "Python", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 4, 25, 88
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\scripts\ingest_materials_kg.py", "Python", 0, 0, 0, 0, 0, 0, 0, 383, 0, 0, 1, 50, 434
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\scripts\run_materials_api.py", "Python", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 11, 29
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\scripts\start_app.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 2, 6, 29
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\scripts\start_app.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 3, 6, 32
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 1, 3, 50
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\services\hypothesis_adjustments.py", "Python", 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 4, 12, 102
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\services\materials_kg.py", "Python", 0, 0, 0, 0, 0, 0, 0, 2201, 0, 0, 20, 111, 2332
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\services\metrics.py", "Python", 0, 0, 0, 0, 0, 0, 0, 530, 0, 0, 31, 121, 682
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\services\session.py", "Python", 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 13, 16, 127
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\tests\conftest.py", "Python", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 4, 13
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\tests\test_dataset_intake_contract.py", "Python", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 11, 60
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\tests\test_deepagents_hypothesis_factory.py", "Python", 0, 0, 0, 0, 0, 0, 0, 370, 0, 0, 0, 61, 431
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\tests\test_ingest_materials_cli_loading.py", "Python", 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 22, 114
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\tests\test_ingestion_adapters.py", "Python", 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 23, 142
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\tests\test_llm_provider_selection.py", "Python", 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 41, 180
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\tests\test_materials_api_smoke.py", "Python", 0, 0, 0, 0, 0, 0, 0, 652, 0, 0, 1, 60, 713
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\tests\test_materials_domain_prompts.py", "Python", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 8, 18
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\tests\test_materials_graph_database_behavior.py", "Python", 0, 0, 0, 0, 0, 0, 0, 240, 0, 0, 0, 16, 256
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\tests\test_materials_kg_core.py", "Python", 0, 0, 0, 0, 0, 0, 0, 875, 0, 0, 3, 82, 960
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\tests\test_materials_measurement_parsing.py", "Python", 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 16, 94
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\tests\test_metrics_evaluation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 439, 0, 0, 0, 55, 494
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\tests\test_neo4j_repository.py", "Python", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 22, 91
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\tests\test_no_donor_brand_in_core.py", "Python", 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 7, 19, 134
"c:\C_C++_C#\Vacancies\Nornickel-hack\kg_engine\tests\test_repository_factory.py", "Python", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 20, 80
"c:\C_C++_C#\Vacancies\Nornickel-hack\lint.py", "Python", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 33, 28, 137
"c:\C_C++_C#\Vacancies\Nornickel-hack\sample_sources\process_notes.md", "Markdown", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 5, 12
"c:\C_C++_C#\Vacancies\Nornickel-hack\sample_sources\reference_pack.json", "JSON", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 87
"c:\C_C++_C#\Vacancies\Nornickel-hack\ui-page.html", "HTML", 0, 0, 0, 0, 0, 1580, 0, 0, 0, 0, 0, 4, 1584
"Total", "-", 12, 335, 55, 12202, 548, 1580, 14, 10948, 66, 23, 417, 4606, 30806
